fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence,locality_match
22823033000023,22823033000054,"109, COSSOPORE ROAD, KOL - 2, WARD - 006, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/100/4B/H/1, COSSIPORE ROAD, KOL - 2, WARD - 001, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",92.02,pin_700002,109,,False,False
22823033000023,22822033000486,"109, COSSOPORE ROAD, KOL - 2, WARD - 006, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/29/H/3, COSSIPORE ROAD , KOL - 2 , WARD - 006, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",91.19,pin_700002,109,,False,False
22823033000023,22823033000119,"109, COSSOPORE ROAD, KOL - 2, WARD - 006, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/35/1/H/1, COSSIPORE ROAD, KOL - 2, WARD - 001, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",92.72,pin_700002,109,,False,False
22823033000023,22822033000267,"109, COSSOPORE ROAD, KOL - 2, WARD - 006, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","T1/6B, COSSIPORE ROAD, WARD NO - 006, KOL - 2, BOROUGH - 1, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",93.44,pin_700002,109,,False,False
22823033000054,22824033000075,"B/100/4B/H/1, COSSIPORE ROAD, KOL - 2, WARD - 001, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/1/1/H/28, DUM DUM ROAD, KOL - 2, WARD - 002, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.3,pin_700002,,,False,False
22823033000054,22824033000077,"B/100/4B/H/1, COSSIPORE ROAD, KOL - 2, WARD - 001, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/1/1/H/29, DUM DUM ROAD, KOL - 2, WARD - 002, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.3,pin_700002,,,False,False
22822033000050,22821033000377,"2/38, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","T 57/6/3B, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",94.41,pin_700002,2/38,,False,False
22822033000378,22823033000121,"B/1B/H/4 DUM DUM ROAD,KOLKATA 700002,WARD-002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/35/1/H/8 COSSIPORE ROAD,KOLKATA 700002,WARD-001, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.08,pin_700002,,,False,False
22820033000050,22821033000048,"B/26A/H/49, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/29/H/20, COSSIPORE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.12,pin_700002,,,False,False
22820033000050,22819033000240,"B/26A/H/49, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","60, B.T ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.0,pin_700002,,60,False,False
22820033000050,22821033000073,"B/26A/H/49, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/29/H/23, COSSIPORE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.12,pin_700002,,,False,False
