fbo_id,source_db,raw_address
22820048000001,registration,"ANINDITA MAHALANBIS (PROPRIETOR) 4, MATANGINI DEBI ROAD, BEHALA, (VIA- A J C BOSE ROAD), WARD- 124, BOROUGH-XVI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700063"
22820035000001,registration,"SHRABANTI MITRA (PROPRIETOR) 45/6, BELIAGHATA MAIN ROAD, WARD- 034, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010"
22820048000002,registration,"68 MAHATMA GANDHI ROAD, KOL-104, BOROUGH-XVI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700104"
22820036000004,registration,"109,MAHATMA GANDHI ROAD,KOLKATA 700007,WARD-039,BR-IV, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007"
22820036000003,registration,"111,MAHATMA GANDHI ROAD,KOLKATA 700007,WARD-039,BR-IV, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007"
22820041000002,registration,"11/1/H/5, MOULANA MD ALI ROAD, P.S. EKBALPORE, KOLKATA - 700023, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
22820041000005,registration,"12A HEM CHANDRA STREETKIDDERPORE, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
22820042000018,registration,"141/58A PRINCE GOLAM HOSSAIN SHAH ROAD_x000d_
D/4A PODDAR NAGAR_x000d_
WARD NO:093_x000d_
BOROUGH NO:X_x000d_
KOLKATA-700032, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700032"
22820044000002,registration,"30/1 ASHUTOSH COLONY, P.O. HALTU, P.S.GARFA, KOLKATA - 700078, BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700078"
22820042000016,registration,"64,SARAT GHOSH GARDEN ROAD, WARD NO-091, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700031"
22820044000004,registration,"M-20 Panchasayar Purba Jadavpur, Kolkata -700094, BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700094"
22820045000002,registration,"94,BUROSHIBTALA MAIN ROAD,KOLKATRA-700038, BOROUGH-X III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700038"
22820042000015,registration,"E/113/9 Ramgarh Colony, Naktala, Kolkata 700047, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700047"
22820040000007,registration,"B/1/H/1, JOGESH BRAHMACHARI SARANI, WARD NO.68, BOROUGH- VIII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700019"
22820041000004,registration,"11H, SATYENDRA NATH MAJUMDER SARANI, (11H, MANOHAR PUKUR ROAD), WARD-084, KOLKATA-700026, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700026"
22820034000004,registration,"HATIARA BHALLAI FOOTBALL GOURND NEWTOW KOLKATA 700157 WARD 11 BR II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700157"
22820045000001,registration,"184/1, KABI GURU SARANI, MAIL - 131, KABI GURU SARANI, WARD NO.- 118, KOLKATA-700038, BOROUGH-X III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700038"
22820042000014,registration,"48, RAHIM OSTAGAR ROAD, WARD NO.93, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700045"
22820042000017,registration,"Abhinandan Bandyopadhyay, 8/101, Bijoygarh, P.S. Jadavpur ,Kolkata, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700032"
22820040000008,registration,"106/A, RASBEHARI AVENUE, WARD NO- 87, BR- VIII, BOROUGH- VIII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700029"
22820039000006,registration,"Safdar Khan, Ward No. 66 2/1 , Chowbaga Road, Kolkata, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700039"
22820040000021,registration,"9/1/A JATIN BAGCHI ROAD(1ST FLOOR), BOROUGH- VIII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700029"
22820046000002,registration,"1,MAHENDRA BANERJEE ROAD KOLKATA, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700060"
22820044000019,registration,"E/14a baghajatin station road kol 700086 , BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700086"
22820034000005,registration,"FLAT 4B, 4TH FLOOR, BD 73, STREET NO:137, AA. NEWTOWN, NORTH 24 PGS, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700156"
22820044000020,registration,"KASTURI MAL (PAUL)- PROPRIETOTR 1575, LASKARHAT, TILJALA, WARD- 107 , BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700017"
22820042000020,registration,"Subhasri Das(Prop)._x000d_
12/1T P G H SHAH ROAD_x000d_
(18 BIKRAMGARH)._x000d_
, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700032"
22820048000004,registration,"140A, DIAMOND HARBOUR ROAD, WARD NO-124, BOROUGH-XVI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700063"
22820048000005,registration,"90/23,RAMCHANDRAPUR,MANNAPARA,P.S:HARIDEVPUR,KOLKATA-700104, BOROUGH-XVI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700104"
22820042000021,registration,"7A, P A SHAH ROAD, SHOP NO-4, (PODDAR NAGAR COLONY), WARD NO:93, BOROUGH NO:X, KOLKATA-700068, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700068"
22820039000008,registration,"39/1,BOSE PUKUR ROAD,WARD NO-67,BR VII,KOLKATA-700042, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700042"
22820046000009,registration,"29 SARSUNA MAIN ROAD, KOL-61, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700061"
22820034000006,registration,"HATIARA BHALAI FOOTBALL GROUND NEWTOWN KOLKATA 700157 WARD 11 BR II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700157"
22820046000005,registration,"1277, JOYRAMPUR JALA ROAD, WARD NO-129, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700060"
