fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence
22822039000736,22825039000186,"7B/H/1 RAMESHWAR SHAW ROAD, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/8/H/1 RAMESHWAR SHAW ROAD, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",98.54,pin_700014,7B,,False
22822039000736,22821039000393,"7B/H/1 RAMESHWAR SHAW ROAD, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/6/1B/H/1, RAMESHWAR SHAW ROAD, WARD NO-59, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.4,pin_700014,7B,,False
22821038000801,22824038000330,"72/4 SURENDRA NATH BANERJEE ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/50/2/H/3, SURENDRA NATH BANERJEE ROAD,WARD-53, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.63,pin_700014,72/4,,False
22823038000378,22824038000011,"28/H/13 SIR SYED AHMED ROAD , BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","28/H/23, SIR SYED AHAMMED ROAD, WARD NO-54, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.83,pin_700014,28,28,True
22824038000020,22820038000092,"4/H/23 CHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/4/H/28 CHATU BABU LANE , BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.26,pin_700014,4,,False
22824038000020,22824038000183,"4/H/23 CHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/2A/H/19 CHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.28,pin_700014,4,,False
22824038000020,22822038000252,"4/H/23 CHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/3B/H/1, CHHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.82,pin_700014,4,,False
22824038000020,22822038000175,"4/H/23 CHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","BAZAR AT 4/1 CHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",92.93,pin_700014,4,,False
22821038000128,22821038000115,"4/1, CHATU BABU LANE, GROUND FLOOR, KOLKATA 700014, WARD 055 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/2B/H/12/1, CHATU BABU LANE, GROUND FLOOR, KOLKATA 700014, WARD 055 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",93.75,pin_700014,4/1,,False
22821037000110,22824037000163,"118B  ACHARYAQ JAGADISH BOSE ROAD, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","118B ACHARYA JADADISH BOSE ROAD KMC WARD NO-50, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.15,pin_700014,118B,118B,True
